"","X","연번","호선","역번호","역명","경로","장애","유공자","total","ratio","elevator","moving.walk","wheelchair.lift","facility.total"
"112",98,98,"4호선",413,"쌍문",1532030,258808,16817,9478800,0.0273038781280331,3,0,0,3
"113",115,115,"4호선",430,"이촌(국립중앙박물관)",484078,53201,4922,2933809,0.018133763990771,5,0,1,6
"114",97,97,"4호선",412,"창동",1874012,297566,27822,8416078,0.035356849116655,6,0,4,10
"115",117,117,"4호선",432,"총신대입구(이수)",1479704,160011,17505,6205414,0.0257857090598629,4,0,0,4
"116",108,108,"4호선",423,"충무로",1059402,193483,13901,8364621,0.0231311137707255,4,0,1,5
"117",104,104,"4호선",419,"한성대입구(삼선교)",699595,98699,7086,4607224,0.0214226614551409,3,0,0,3
"118",105,105,"4호선",420,"혜화",1136957,280571,14117,11552800,0.024285973963022,4,0,0,4
"119",110,110,"4호선",425,"회현(남대문시장)",1829144,206380,12007,7938536,0.0259972367701047,2,0,0,2
"120",158,158,"5호선",2549,"강동",1018861,169583,13486,5975549,0.0283794844624318,2,0,2,4
"121",171,171,"5호선",2562,"강일",318624,57134,4148,1473694,0.0387692424614608,8,0,0,8
"122",168,168,"5호선",2559,"개롱",447687,76983,2940,2066070,0.037260596204388,3,0,0,3
"123",121,121,"5호선",2512,"개화산",349982,84205,3422,1817515,0.0463297414326704,2,0,0,2
"124",169,169,"5호선",2560,"거여",583092,107012,8962,3217377,0.033260634361469,3,0,0,3
"125",162,162,"5호선",2553,"고덕",663081,94617,4274,3101868,0.0305032322458596,4,0,0,4
"126",139,139,"5호선",2530,"공덕",420278,77370,6121,4356138,0.0177611453080688,2,0,0,2
"127",156,156,"5호선",2547,"광나루(장신대)",682974,89811,9147,4493641,0.0199862427817442,4,0,1,5
"128",143,143,"5호선",2534,"광화문(세종문화회관)",783517,163273,13595,9850017,0.016575910478124,2,0,0,2
"129",154,154,"5호선",2545,"군자(능동)",368602,84564,4614,3688882,0.0229240187135289,3,0,0,3
"130",160,160,"5호선",2551,"굽은다리(강동구민회관앞)",691367,111989,8040,3149314,0.0355598076279469,3,0,0,3
"131",159,159,"5호선",2550,"길동",696104,105065,5511,2611422,0.0402328692949665,3,0,0,3
"132",122,122,"5호선",2513,"김포공항",314616,76701,3643,2694996,0.0284605246167341,2,0,0,2
"133",128,128,"5호선",2519,"까치산",1466917,267588,10936,9439227,0.028348507775054,2,0,3,5
"134",152,152,"5호선",2543,"답십리",752564,134895,8828,5112701,0.0263842927642356,4,0,1,5
"135",146,146,"5호선",2537,"동대문역사문화공원(DDP)",78165,13197,1506,888902,0.0148464060155113,2,0,2,4
"136",164,164,"5호선",2555,"둔촌동",598420,85058,6020,2732895,0.0311237716780191,3,0,0,3
"137",124,124,"5호선",2515,"마곡",363214,87510,6135,3296860,0.0265434383018994,6,0,0,6
"138",151,151,"5호선",2542,"마장",377946,63447,5180,1868030,0.033964657955172,3,0,0,3
"139",170,170,"5호선",2561,"마천",520008,98114,7078,2343141,0.0418728535756064,2,0,0,2
"140",138,138,"5호선",2529,"마포",583812,84316,7911,4455954,0.0189220983879098,2,0,0,2
"141",161,161,"5호선",2552,"명일",663036,91040,6115,2840035,0.0320559429725338,3,0,0,3
"142",130,130,"5호선",2521,"목동",766346,125197,9157,5395641,0.023203359897369,3,0,0,3
"143",172,172,"5호선",2563,"미사",704941,119482,14025,5359180,0.0222948286864782,4,0,0,4
"144",125,125,"5호선",2516,"발산",848702,197677,8389,6579714,0.0300434031023233,3,0,0,3
"145",166,166,"5호선",2557,"방이",451078,53885,2697,2336450,0.0230627661623403,4,0,0,4
"146",120,120,"5호선",2511,"방화",466680,99420,3910,2181877,0.0455662716092612,3,0,0,3
"147",163,163,"5호선",2554,"상일동",856680,121560,11773,4732279,0.0256874119214019,4,0,2,6
"148",142,142,"5호선",2533,"서대문",589511,118829,21498,5856107,0.020291466668898,3,0,1,4
"149",123,123,"5호선",2514,"송정",473165,78181,4213,2156079,0.0362607307060641,4,0,0,4
"150",148,148,"5호선",2539,"신금호",360993,61665,2120,2060550,0.0299264759408896,3,0,0,3
"151",135,135,"5호선",2526,"신길",100763,25847,1422,1355879,0.01906291048095,6,0,0,6
"152",129,129,"5호선",2520,"신정(은행정)",588129,119383,8557,4441829,0.0268769914375362,2,0,0,2
"153",155,155,"5호선",2546,"아차산(어린이대공원후문)",933409,153167,9713,5029179,0.0304556668195743,3,0,0,3
"154",140,140,"5호선",2531,"애오개",350344,63354,2929,2110020,0.0300253078169875,5,0,0,5
"155",132,132,"5호선",2523,"양평",258774,56073,2576,2290874,0.0244766844444522,3,0,0,3
"156",137,137,"5호선",2528,"여의나루",282275,61860,2733,4437440,0.0139404701810053,3,0,0,3
"157",136,136,"5호선",2527,"여의도",468730,115604,11098,8744451,0.0132202696315641,2,0,0,2
"158",133,133,"5호선",2524,"영등포구청",184759,39242,1977,1243476,0.0315583091269956,4,0,2,6
"159",134,134,"5호선",2525,"영등포시장",676287,108337,6573,3385060,0.0320044548693376,3,0,0,3
"160",167,167,"5호선",2558,"오금",190660,31374,1527,1171685,0.0267768214153121,5,0,0,5
"161",131,131,"5호선",2522,"오목교(목동운동장앞)",793860,143910,8032,7067971,0.0203608645253355,3,0,0,3
"162",165,165,"5호선",2556,"올림픽공원(한국체대)",372803,36876,4457,1553209,0.0237418145272143,3,0,0,3
"163",150,150,"5호선",2541,"왕십리(성동구청)",212425,48915,2302,1490518,0.0328174500408583,3,0,0,3
"164",126,126,"5호선",2517,"우장산",869162,123738,6923,4703684,0.0263066141347931,3,0,0,3
"165",145,145,"5호선",2536,"을지로4가",413923,54177,4750,1904946,0.0284401762569648,1,0,0,1
"166",153,153,"5호선",2544,"장한평",833191,164432,9977,5862132,0.0280498630873546,3,0,1,4
"167",144,144,"5호선",2535,"종로3가",907876,121178,14594,4577403,0.0264730896536748,1,0,1,2
"168",157,157,"5호선",2548,"천호(풍납토성)",1233198,196302,13826,6226331,0.0315277167243438,4,0,0,4
"169",141,141,"5호선",2532,"충정로(경기대입구)",128031,26371,1686,1407993,0.0187294965244856,2,0,0,2
