"","동별.1.","동별.2.","동별.3.","계","남자","여자","pop","ratio","lat","long"
"276","합계","강서구","등촌3동",3649,2025,1624,30025,0.121532056619484,37.5589789,126.847881
"286","합계","강서구","발산1동",1515,870,645,36236,0.0418092504691467,37.5531209,126.8331686
"288","합계","강서구","방화1동",1798,1099,699,42851,0.0419593475064759,37.5703659,126.817026
"289","합계","강서구","방화2동",1588,927,661,23371,0.0679474562491977,37.5666997,126.8067549
"290","합계","강서구","방화3동",1987,1120,867,22544,0.088138750887154,37.5787386,126.8135628
"273","합계","강서구","염창동",1065,660,405,41628,0.025583741712309,37.553751,126.8709777
"292","합계","강서구","우장산동",1246,745,501,42883,0.0290558029988574,37.5482468,126.8418849
"291","합계","강서구","화곡1동",2093,1254,839,52647,0.0397553516819572,37.530408,126.841562
"278","합계","강서구","화곡2동",772,465,307,17785,0.043407365757661,37.531817,126.854613
"279","합계","강서구","화곡3동",828,473,355,21603,0.0383280099986113,37.5425392,126.8384231
"280","합계","강서구","화곡4동",984,581,403,20514,0.0479672418835917,37.5346476,126.8609068
"281","합계","강서구","화곡6동",990,591,399,25303,0.039125795360234,37.5518173,126.8501301
"282","합계","강서구","화곡8동",1018,557,461,24415,0.0416956788859308,37.5326541,126.848335
"277","합계","강서구","화곡본동",1390,836,554,34121,0.0407373758096187,37.544075,126.847725
"365","합계","관악구","낙성대동",444,246,198,17928,0.0247657295850067,37.4762971,126.9583884
"380","합계","관악구","난곡동",1605,938,667,26679,0.0601596761497807,37.4709634,126.9216507
"374","합계","관악구","난향동",707,424,283,15050,0.0469767441860465,37.461429,126.918842
"368","합계","관악구","남현동",556,334,222,18163,0.0306116830920002,37.4745394,126.9778366
"376","합계","관악구","대학동",754,489,265,26301,0.028668111478651,37.4706145,126.9369907
"382","합계","관악구","미성동",1474,889,585,30662,0.0480725327767269,37.4761761,126.9155534
"362","합계","관악구","보라매동",1095,624,471,24660,0.0444038929440389,37.4881456,126.9327389
"381","합계","관악구","삼성동",1376,788,588,20642,0.0666602073442496,37.470101,126.932963
"371","합계","관악구","서림동",871,508,363,24361,0.0357538688887977,37.4749956,126.9349995
"369","합계","관악구","서원동",819,504,315,23511,0.0348347581982902,37.4797346,126.9313
"378","합계","관악구","성현동",1436,801,635,28830,0.0498092265001734,37.4895366,126.9481271
"373","합계","관악구","신림동",569,353,216,23877,0.0238304644637098,37.487426,126.927075
"372","합계","관악구","신사동",941,576,365,24719,0.0380678830049759,37.4829831,126.9192856
"370","합계","관악구","신원동",834,483,351,18620,0.0447905477980666,37.4815883,126.9273519
"377","합계","관악구","은천동",1668,955,713,33156,0.0503076366268549,37.4853086,126.9424278
"367","합계","관악구","인헌동",912,500,412,26119,0.0349171101496995,37.4750974,126.9652628
"375","합계","관악구","조원동",731,464,267,20490,0.0356759394826745,37.4826299,126.9078649
"366","합계","관악구","중앙동",589,348,241,15685,0.0375518010838381,37.4842598,126.9497133
"379","합계","관악구","청룡동",1149,671,478,37132,0.0309436604545944,37.4791304,126.9416518
"363","합계","관악구","청림동",663,381,282,15005,0.0441852715761413,37.4918329,126.9585773
"364","합계","관악구","행운동",1035,602,433,29636,0.0349237413955999,37.4806541,126.9570456
"86","합계","광진구","광장동",718,425,293,34362,0.0208951749025086,37.546892,127.103025
"83","합계","광진구","구의1동",805,469,336,24049,0.033473325294191,37.5424917,127.0856756
"84","합계","광진구","구의2동",1050,626,424,26573,0.0395137921950852,37.5472481,127.0899111
"85","합계","광진구","구의3동",792,427,365,28440,0.0278481012658228,37.5380706,127.0920204
"77","합계","광진구","군자동",789,460,329,21524,0.0366567552499535,37.5551217,127.0758373
"82","합계","광진구","능동",383,220,163,11561,0.0331286220915146,37.5537803,127.0804994
"87","합계","광진구","자양1동",929,537,392,22709,0.0409088907481615,37.534508,127.082438
"88","합계","광진구","자양2동",937,523,414,24253,0.0386343957448563,37.528825,127.084438
"89","합계","광진구","자양3동",787,435,352,27858,0.028250412807811,37.533842,127.072913
"90","합계","광진구","자양4동",861,512,349,21260,0.0404985888993415,37.5341115,127.0662969
"78","합계","광진구","중곡1동",669,382,287,15663,0.0427121241141544,37.560675,127.080038
"79","합계","광진구","중곡2동",904,517,387,21336,0.0423697037870266,37.560308,127.081487
"80","합계","광진구","중곡3동",743,440,303,16177,0.0459294059467145,37.5688084,127.0801736
"81","합계","광진구","중곡4동",1269,748,521,28405,0.0446752332335856,37.5590865,127.0894538
"76","합계","광진구","화양동",547,305,242,27082,0.0201979174359353,37.5465421,127.0713152
"306","합계","구로구","가리봉동",536,346,190,12653,0.0423614952975579,37.4825557,126.8897489
"308","합계","구로구","개봉1동",1620,981,639,34105,0.0475003665151737,37.5003318,126.8511255
"302","합계","구로구","개봉2동",1438,856,582,30665,0.0468938529267895,37.4925187,126.8620808
"303","합계","구로구","개봉3동",1057,628,429,20251,0.0521949533356377,37.485993,126.853838
"300","합계","구로구","고척1동",1148,700,448,25636,0.0447807770322983,37.5004631,126.8628603
"301","합계","구로구","고척2동",1368,806,562,26557,0.0515118424520842,37.5067055,126.8587122
"296","합계","구로구","구로1동",533,323,210,20936,0.0254585403133359,37.4930433,126.8757585
