연번,호선,역번호,역명,경로,장애,유공자
215,7,2713,수락산,922194,146148,11993
216,7,2714,마들,800225,130093,11933
217,7,2715,노원,1108766,220603,11823
218,7,2716,중계,769437,213787,16289
219,7,2717,하계,946085,200871,9314
220,7,2718,공릉(서울과학기술대),645420,128943,6966
221,7,2719,태릉입구,416332,79721,5297
222,7,2720,먹골,603533,114414,6439
223,7,2721,중화,579508,127573,6879
224,7,2722,상봉(시외버스터미널),655885,137563,8331
225,7,2723,면목,888353,171114,6010
226,7,2724,사가정,924146,166251,9611
227,7,2725,용마산(용마폭포공원),319068,74801,2302
228,7,2726,중곡,545992,139636,5224
229,7,2727,군자(능동),728275,132927,6555
230,7,2728,어린이대공원(세종대),377922,89101,4723
231,7,2729,건대입구,502663,105362,3984
232,7,2730,뚝섬유원지,429544,66480,2793
233,7,2731,청담,740155,89657,7321
234,7,2732,강남구청,484134,68358,4869
235,7,2733,학동,573639,89417,6168
236,7,2734,논현,440304,71135,3652
237,7,2735,반포,335060,36996,2807
238,7,2736,고속터미널,684641,99918,7740
239,7,2737,내방,663535,80068,8247
240,7,2738,이수,740257,106200,6599
241,7,2739,남성,679897,96397,6538
242,7,2740,숭실대입구(살피재),591178,79092,5172
243,7,2741,상도,577318,85439,3898
244,7,2742,장승배기,626722,97118,6311
245,7,2743,신대방삼거리,832533,137232,8442
246,7,2744,보라매,355399,66215,4981
247,7,2745,신풍,677104,113662,7325
248,7,2746,대림(구로구청),343257,68303,2339
249,7,2747,남구로,542769,125676,6169
250,7,2748,가산디지털단지,738117,231158,12304
251,7,2749,철산,926919,161707,14094
252,7,2750,광명사거리,1395425,233935,11408
253,7,2751,천왕,509232,103092,9700
254,7,2752,온수(성공회대입구),358238,83163,5407
255,8,2811,암사,981521,168724,9698
256,8,2812,천호(풍납토성),773825,129899,7317
257,8,2813,강동구청,607906,94216,4674
258,8,2814,몽촌토성(평화의문),325527,43843,2998
259,8,2815,잠실(송파구청),662233,121172,6596
260,8,2816,석촌,480100,72407,4570
261,8,2817,송파,571012,62644,6264
262,8,2818,가락시장,595608,75572,6369
263,8,2819,문정,545724,102071,5529
264,8,2820,장지,722479,144652,7879
265,8,2821,복정,358605,74148,5455
266,8,2822,산성,302164,44001,3369
267,8,2823,남한산성입구(성남법원.검찰청),727019,143399,6614
268,8,2824,단대오거리,653658,142018,4509
269,8,2825,신흥,338571,71345,2470
270,8,2826,수진,411929,84605,3006
271,8,2827,모란,512846,91099,4627
272,8,2828,남위례,244866,35756,2815
