"동별(1)",동별(2),동별(3),계,남자,여자
"합계",서대문구,홍제2동,606,316,290
"합계",서대문구,홍은1동,1053,556,497
"합계",서대문구,홍은2동,1237,701,536
"합계",서대문구,남가좌1동,552,290,262
"합계",서대문구,남가좌2동,1185,645,540
"합계",서대문구,북가좌1동,692,385,307
"합계",서대문구,북가좌2동,1545,866,679
"합계",서대문구,충현동,724,432,292
"합계",서대문구,북아현동,565,322,243
"합계",서대문구,신촌동,470,241,229
"합계",서대문구,연희동,1178,674,504
"합계",서대문구,기타,0,0,0
"합계",마포구,소계,12904,7270,5634
"합계",마포구,용강동,613,339,274
"합계",마포구,대흥동,474,274,200
"합계",마포구,염리동,528,285,243
"합계",마포구,신수동,674,403,271
"합계",마포구,서교동,667,403,264
"합계",마포구,합정동,554,315,239
"합계",마포구,망원1동,757,438,319
"합계",마포구,망원2동,742,430,312
"합계",마포구,연남동,487,267,220
"합계",마포구,성산1동,662,376,286
"합계",마포구,성산2동,2000,1076,924
"합계",마포구,상암동,1177,653,524
"합계",마포구,도화동,738,390,348
"합계",마포구,서강동,675,371,304
"합계",마포구,공덕동,1475,849,626
"합계",마포구,아현동,681,401,280
"합계",마포구,기타,0,0,0
"합계",양천구,소계,17621,10232,7389
"합계",양천구,목1동,696,393,303
"합계",양천구,목2동,1056,634,422
"합계",양천구,목3동,924,548,376
"합계",양천구,목4동,837,493,344
"합계",양천구,신월1동,1294,762,532
"합계",양천구,신월2동,991,579,412
"합계",양천구,신월3동,934,557,377
"합계",양천구,신월4동,936,533,403
"합계",양천구,신월5동,718,413,305
"합계",양천구,신월6동,465,299,166
"합계",양천구,신월7동,1120,636,484
"합계",양천구,신정1동,552,338,214
"합계",양천구,신정2동,726,423,303
"합계",양천구,신정3동,2216,1253,963
"합계",양천구,신정6동,459,265,194
"합계",양천구,신정7동,1379,729,650
"합계",양천구,목5동,732,413,319
"합계",양천구,신정4동,1586,964,622
"합계",양천구,기타,0,0,0
"합계",강서구,소계,28508,16540,11968
"합계",강서구,염창동,1065,660,405
"합계",강서구,등촌1동,735,398,337
"합계",강서구,등촌2동,719,427,292
"합계",강서구,등촌3동,3649,2025,1624
"합계",강서구,화곡본동,1390,836,554
"합계",강서구,화곡2동,772,465,307
"합계",강서구,화곡3동,828,473,355
"합계",강서구,화곡4동,984,581,403
"합계",강서구,화곡6동,990,591,399
"합계",강서구,화곡8동,1018,557,461
"합계",강서구,가양1동,779,464,315
"합계",강서구,가양2동,2422,1419,1003
"합계",강서구,가양3동,1617,846,771
"합계",강서구,발산1동,1515,870,645
"합계",강서구,공항동,1312,782,530
"합계",강서구,방화1동,1798,1099,699
"합계",강서구,방화2동,1588,927,661
"합계",강서구,방화3동,1987,1120,867
"합계",강서구,화곡1동,2093,1254,839
"합계",강서구,우장산동,1246,745,501
"합계",강서구,기타,1,1,0
"합계",구로구,소계,18520,10980,7540
"합계",구로구,신도림동,954,565,389
"합계",구로구,구로1동,533,323,210
"합계",구로구,구로3동,924,538,386
"합계",구로구,구로4동,1229,700,529
"합계",구로구,구로5동,1164,699,465
"합계",구로구,고척1동,1148,700,448
"합계",구로구,고척2동,1368,806,562
"합계",구로구,개봉2동,1438,856,582
"합계",구로구,개봉3동,1057,628,429
"합계",구로구,오류1동,1137,662,475
"합계",구로구,수궁동,1279,769,510
"합계",구로구,가리봉동,536,346,190
"합계",구로구,구로2동,1447,841,606
"합계",구로구,개봉1동,1620,981,639
"합계",구로구,오류2동,2104,1209,895
"합계",구로구,항동,582,357,225
"합계",구로구,기타,0,0,0
"합계",금천구,소계,11615,7005,4610
"합계",금천구,가산동,751,479,272
"합계",금천구,독산1동,2054,1236,818
"합계",금천구,독산2동,970,603,367
"합계",금천구,독산3동,1235,765,470
"합계",금천구,독산4동,798,505,293
"합계",금천구,시흥1동,1688,1003,685
"합계",금천구,시흥2동,1131,648,483
"합계",금천구,시흥3동,548,330,218
"합계",금천구,시흥4동,1172,699,473
"합계",금천구,시흥5동,1268,737,531
"합계",금천구,기타,0,0,0
"합계",영등포구,소계,14654,8736,5918
"합계",영등포구,여의동,773,448,325
"합계",영등포구,당산1동,773,467,306
"합계",영등포구,당산2동,928,535,393
"합계",영등포구,양평1동,670,389,281
"합계",영등포구,양평2동,605,367,238
"합계",영등포구,신길1동,894,529,365
"합계",영등포구,신길3동,821,490,331
"합계",영등포구,신길4동,632,347,285
"합계",영등포구,신길5동,556,344,212
"합계",영등포구,신길6동,793,441,352
"합계",영등포구,신길7동,567,328,239
"합계",영등포구,대림1동,853,513,340
"합계",영등포구,대림2동,745,429,316
"합계",영등포구,대림3동,1192,728,464
"합계",영등포구,영등포본동,1091,664,427
"합계",영등포구,영등포동,989,664,325
"합계",영등포구,도림동,873,515,358
"합계",영등포구,문래동,899,538,361
"합계",영등포구,기타,0,0,0
"합계",동작구,소계,14317,8219,6098
"합계",동작구,노량진2동,545,313,232
"합계",동작구,상도1동,1464,832,632
"합계",동작구,상도2동,909,521,388
"합계",동작구,상도3동,1133,623,510
