"","동별.1.","동별.2.","동별.3.","계","남자","여자","pop","ratio"
"359","합계","동작구","사당2동",948,540,408,28786,0.0329326756061975
"351","합계","동작구","사당3동",767,469,298,24189,0.0317086278887097
"352","합계","동작구","사당4동",560,323,237,14185,0.0394783221713077
"353","합계","동작구","사당5동",538,306,232,14434,0.0372731051683525
"346","합계","동작구","상도1동",1464,832,632,46166,0.0317116492656934
"347","합계","동작구","상도2동",909,521,388,27982,0.0324851690372382
"348","합계","동작구","상도3동",1133,623,510,24456,0.0463280994438992
"349","합계","동작구","상도4동",1318,796,522,28564,0.046141996919199
"344","합계","동작구","소계",14317,8219,6098,390432,0.0366696377346119
"355","합계","동작구","신대방1동",823,471,352,25118,0.0327653475595191
"356","합계","동작구","신대방2동",781,445,336,22445,0.034796168411673
"357","합계","동작구","흑석동",984,557,427,30694,0.0320583827458135
"249","합계","마포구","공덕동",1475,849,626,37476,0.0393585227879176
"236","합계","마포구","대흥동",474,274,200,16177,0.0293008592446065
"247","합계","마포구","도화동",738,390,348,21118,0.0349464911449948
"241","합계","마포구","망원1동",757,438,319,19757,0.0383155337348788
"242","합계","마포구","망원2동",742,430,312,18449,0.0402189820586482
"246","합계","마포구","상암동",1177,653,524,30837,0.038168434024062
"248","합계","마포구","서강동",675,371,304,25576,0.0263919299343134
"239","합계","마포구","서교동",667,403,264,26674,0.0250056234535503
"244","합계","마포구","성산1동",662,376,286,19079,0.0346978353163164
"245","합계","마포구","성산2동",2000,1076,924,39500,0.0506329113924051
"234","합계","마포구","소계",12904,7270,5634,375585,0.0343570696380313
"238","합계","마포구","신수동",674,403,271,22672,0.0297282992237121
"250","합계","마포구","아현동",681,401,280,26184,0.0260082493125573
"243","합계","마포구","연남동",487,267,220,15603,0.0312119464205602
"237","합계","마포구","염리동",528,285,243,17633,0.0299438552713662
"235","합계","마포구","용강동",613,339,274,21786,0.0281373359037914
"240","합계","마포구","합정동",554,315,239,17064,0.0324660103141116
"225","합계","서대문구","남가좌1동",552,290,262,16884,0.0326936744847193
"226","합계","서대문구","남가좌2동",1185,645,540,30508,0.0388422708797692
"227","합계","서대문구","북가좌1동",692,385,307,17804,0.0388676701864749
"228","합계","서대문구","북가좌2동",1545,866,679,31244,0.0494494943029062
"230","합계","서대문구","북아현동",565,322,243,15875,0.0355905511811024
"218","합계","서대문구","소계",12348,6855,5493,319554,0.0386413563904692
"231","합계","서대문구","신촌동",470,241,229,26143,0.017978043835826
"232","합계","서대문구","연희동",1178,674,504,37428,0.0314737629582131
"219","합계","서대문구","천연동",701,387,314,17031,0.0411602372144912
"229","합계","서대문구","충현동",724,432,292,20316,0.0356369364048041
"223","합계","서대문구","홍은1동",1053,556,497,22825,0.0461336254107338
"224","합계","서대문구","홍은2동",1237,701,536,27499,0.0449834539437798
"220","합계","서대문구","홍제1동",948,526,422,24674,0.0384210099700089
"222","합계","서대문구","홍제2동",606,316,290,13433,0.0451127819548872
"221","합계","서대문구","홍제3동",892,514,378,17890,0.0498602571268865
"402","합계","서초구","내곡동",825,504,321,17455,0.0472643941564022
"391","합계","서초구","반포1동",619,377,242,34443,0.0179717213947682
"392","합계","서초구","반포2동",232,129,103,15742,0.0147376445178503
